District,City,Latitude,Longitude,Price,Land_Size_M2,Building_Size_M2,Floors,Bedrooms,Bathrooms,Carport/Garage
Babelan,Bekasi,-6.2277207,107.0016494,345000000.0,60.0,40.0,1.0,2.0,1.0,1.0
Pondokmelati,Bekasi,-6.296440899999999,106.9215663,1265000000.0,90.0,110.0,2.0,3.0,3.0,2.0
Bekasi Utara,Bekasi,-6.211765499999999,107.0038512,1300000000.0,80.0,120.0,2.0,3.0,3.0,2.0
Cikarang Pusat,Bekasi,-6.3651654,107.1823911,1090000000.0,98.0,102.0,2.0,4.0,2.0,2.0
Mustikajaya,Bekasi,-6.303947,107.0268962,800000008.0,96.0,75.0,1.0,3.0,1.0,1.0
Rawalumbu,Bekasi,-6.277895399999999,106.9918311,860000000.0,84.0,99.0,2.0,3.0,3.0,1.0
Bekasi Utara,Bekasi,-6.211765499999999,107.0038512,985000000.0,135.0,135.0,1.0,3.0,2.0,1.0
Mustikajaya,Bekasi,-6.3217601,106.9981644,2000000008.0,98.0,196.0,2.0,4.0,3.0,2.0
Mustikajaya,Bekasi,-6.3217601,106.9981644,550000008.0,52.0,108.0,2.0,2.0,2.0,1.0
Bekasi Utara,Bekasi,-6.2277207,107.0016494,565000000.0,60.0,44.0,1.0,2.0,1.0,1.0
Mustikajaya,Bekasi,-6.3217601,106.9981644,535000008.0,60.0,45.0,1.0,2.0,1.0,1.0
Mustikajaya,Bekasi,-6.296142800000001,107.0214912,799000000.0,69.0,108.0,2.0,4.0,2.0,1.0
Rawalumbu,Bekasi,-6.277895399999999,106.9918311,630000000.0,73.0,46.0,1.0,2.0,1.0,1.0
Setu,Bekasi,-6.3298482,107.0310717,460000008.0,60.0,45.0,1.0,2.0,1.0,1.0
Bekasi Barat,Bekasi,-6.2457664,106.9683273,950000000.0,80.0,52.0,1.0,2.0,1.0,1.0
Mustikajaya,Bekasi,-6.296142800000001,107.0214912,580000008.0,85.0,55.0,1.0,3.0,1.0,1.0
Bekasi Barat,Bekasi,-6.2457664,106.9683273,1200000000.0,80.0,120.0,2.0,3.0,3.0,2.0
Mustikajaya,Bekasi,-6.296142800000001,107.0214912,470000008.0,60.0,60.0,1.0,2.0,1.0,1.0
Jatiasih,Bekasi,-6.3102117,106.9532337,775000000.0,80.0,70.0,2.0,2.0,2.0,2.0
Mustikajaya,Bekasi,-6.3121607,107.021111,775000008.0,100.0,85.0,1.0,3.0,1.0,1.0
Rawalumbu,Bekasi,-6.277895399999999,106.9918311,499500000.0,90.0,70.0,1.0,3.0,2.0,1.0
Bekasi Utara,Bekasi,-6.2277207,107.0016494,550000000.0,60.0,45.0,1.0,2.0,1.0,1.0
Bekasi Barat,Bekasi,-6.2457664,106.9683273,1599000000.0,117.0,137.0,2.0,3.0,3.0,2.0
Mustikajaya,Bekasi,-6.3121607,107.021111,575000008.0,70.0,50.0,1.0,2.0,1.0,1.0
Bekasi Timur,Bekasi,-6.2491162,107.013564,778000000.0,75.0,59.0,2.0,3.0,3.0,2.0
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,778000000.0,60.0,80.0,2.0,3.0,2.0,1.0
Mustikajaya,Bekasi,-6.296142800000001,107.0214912,475000008.0,60.0,60.0,1.0,2.0,1.0,1.0
Mustikajaya,Bekasi,-6.296142800000001,107.0214912,575000008.0,72.0,55.0,1.0,2.0,1.0,1.0
Mustikajaya,Bekasi,-6.3217601,106.9981644,550000008.0,52.0,108.0,2.0,2.0,2.0,1.0
Bekasi Utara,Bekasi,-6.1817524,106.9736839,725000000.0,128.0,110.0,2.0,4.0,2.0,1.0
Mustikajaya,Bekasi,-6.3217601,106.9981644,535000008.0,60.0,45.0,1.0,2.0,1.0,1.0
Setu,Bekasi,-6.3490457,107.0324084,460000000.0,96.0,30.0,1.0,2.0,1.0,1.0
Bekasi Timur,Bekasi,-6.2491162,107.013564,2000000000.0,98.0,196.0,2.0,4.0,3.0,2.0
Bekasi Timur,Bekasi,-6.2491162,107.013564,550000002.0,52.0,108.0,2.0,2.0,2.0,1.0
Mustikajaya,Bekasi,-6.296142800000001,107.0214912,470000008.0,60.0,60.0,1.0,2.0,1.0,1.0
Bekasi Timur,Bekasi,-6.2491162,107.013564,535000002.0,60.0,45.0,1.0,2.0,1.0,1.0
Bekasi Timur,Bekasi,-6.2491162,107.013564,580000002.0,85.0,55.0,1.0,3.0,1.0,1.0
Cikarang Pusat,Bekasi,-6.3669752,107.1478351,480000002.0,60.0,60.0,1.0,2.0,1.0,1.0
Cikarang Pusat,Bekasi,-6.3669752,107.1478351,355000002.0,60.0,60.0,1.0,2.0,1.0,1.0
Bekasi Timur,Bekasi,-6.2491162,107.013564,575000002.0,70.0,50.0,1.0,2.0,1.0,1.0
Bekasi Timur,Bekasi,-6.2491162,107.013564,77.0,100.0,80.0,1.0,3.0,1.0,1.0
Bekasi Timur,Bekasi,-6.2491162,107.013564,460000002.0,60.0,45.0,1.0,2.0,1.0,1.0
Bekasi Timur,Bekasi,-6.2491162,107.013564,475000002.0,60.0,60.0,1.0,2.0,1.0,1.0
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,550000007.0,52.0,108.0,2.0,2.0,2.0,1.0
Bekasi Selatan,Bekasi,-6.3121607,107.021111,775000005.0,100.0,80.0,1.0,3.0,1.0,1.0
Cibitung,Bekasi,-6.251275400000001,107.0874774,230000000.0,90.0,35.0,1.0,2.0,1.0,1.0
Bekasi Selatan,Bekasi,-6.3121607,107.021111,575000005.0,70.0,50.0,1.0,2.0,1.0,1.0
Bekasi Selatan,Bekasi,-6.3298482,107.0310717,460000005.0,60.0,45.0,1.0,2.0,1.0,1.0
Bekasi Timur,Bekasi,-6.2491162,107.013564,2000000005.0,98.0,196.0,3.0,4.0,3.0,2.0
Medan Satria,Bekasi,-6.1730925,106.9931081,785000000.0,100.0,100.0,1.0,2.0,2.0,1.0
Bekasi Selatan,Bekasi,-6.2598431,106.9726004,575000005.0,72.0,55.0,1.0,2.0,1.0,1.0
Kedungwaringin,Bekasi,-6.272649599999999,107.2666098,1500000000.0,105.0,80.0,1.0,2.0,1.0,0.0
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,550000007.0,52.0,106.0,2.0,2.0,2.0,1.0
Bekasi Barat,Bekasi,-6.3156704,107.001668,535000007.0,60.0,45.0,1.0,2.0,1.0,1.0
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,800000007.0,90.0,75.0,1.0,3.0,1.0,1.0
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,580000007.0,85.0,55.0,1.0,3.0,1.0,1.0
Bekasi Utara,Bekasi,-6.20792,107.020438,550000000.0,60.0,45.0,1.0,2.0,1.0,1.0
Rawalumbu,Bekasi,-6.277895399999999,106.9918311,499500000.0,90.0,70.0,1.0,3.0,2.0,1.0
Jatiasih,Bekasi,-6.3009292,106.9557272,775000000.0,80.0,69.0,2.0,2.0,2.0,1.0
Bekasi Barat,Bekasi,-6.2457664,106.9683273,1200000000.0,80.0,120.0,2.0,3.0,3.0,2.0
Rawalumbu,Bekasi,-6.277895399999999,106.9918311,630000000.0,73.0,45.0,1.0,2.0,1.0,1.0
Mustikajaya,Bekasi,-6.296142800000001,107.0214912,799000000.0,69.0,99.0,2.0,4.0,2.0,2.0
Bekasi Utara,Bekasi,-6.2277207,107.0016494,565000000.0,60.0,45.0,1.0,2.0,1.0,1.0
Bekasi Utara,Bekasi,-6.211765499999999,107.0038512,985000000.0,135.0,135.0,1.0,3.0,2.0,2.0
Rawalumbu,Bekasi,-6.277895399999999,106.9918311,860000000.0,84.0,100.0,2.0,3.0,3.0,1.0
Bekasi Utara,Bekasi,-6.2277207,107.0016494,1300000000.0,90.0,130.0,2.0,3.0,3.0,2.0
Bekasi Selatan,Bekasi,-6.2598431,106.9726004,1300000000.0,80.0,120.0,2.0,3.0,3.0,1.0
Bekasi Timur,Bekasi,-6.2491162,107.013564,355000005.0,60.0,60.0,1.0,2.0,1.0,1.0
Cibitung,Bekasi,-6.251275400000001,107.0874774,181000000.0,60.0,27.0,1.0,2.0,1.0,1.0
jatibening,Bekasi,-6.261676899999999,106.9506175,465000000.0,72.0,40.0,1.0,2.0,1.0,1.0
Bekasi Selatan,Bekasi,-6.2391726,107.1010275,355000000.0,60.0,60.0,1.0,2.0,1.0,1.0
Bekasi Selatan,Bekasi,-6.3298482,107.0310717,460000000.0,60.0,45.0,1.0,2.0,1.0,1.0
Bekasi Selatan,Bekasi,-6.2598431,106.9726004,475000000.0,60.0,60.0,1.0,2.0,1.0,1.0
Pondokgede,Bekasi,-6.2697026,106.9308294,800000002.0,96.0,55.0,1.0,2.0,1.0,1.0
Pondokgede,Bekasi,-6.2697026,106.9308294,2000000000.0,98.0,196.0,2.0,4.0,3.0,2.0
Pondokgede,Bekasi,-6.2697026,106.9308294,550000002.0,52.0,108.0,2.0,2.0,2.0,1.0
Pondokgede,Bekasi,-6.2697026,106.9308294,535000002.0,60.0,45.0,1.0,2.0,1.0,1.0
Bekasi Selatan,Bekasi,-6.2598431,106.9726004,575000000.0,72.0,55.0,1.0,2.0,1.0,1.0
Pondokgede,Bekasi,-6.2697026,106.9308294,470000002.0,60.0,45.0,1.0,2.0,1.0,1.0
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,480000007.0,60.0,60.0,1.0,2.0,1.0,1.0
Pondokgede,Bekasi,-6.2697026,106.9308294,580000002.0,85.0,55.0,1.0,3.0,1.0,1.0
Cikarang Pusat,Bekasi,-6.3669752,107.1478351,355000002.0,60.0,60.0,1.0,2.0,1.0,1.0
Bekasi Utara,Bekasi,-6.211765499999999,107.0038512,495000000.0,60.0,50.0,1.0,2.0,1.0,1.0
Bekasi Utara,Bekasi,-6.211765499999999,107.0038512,595000000.0,117.0,50.0,1.0,2.0,1.0,1.0
Bekasi Selatan,Bekasi,-6.3156704,107.001668,2000000000.0,98.0,196.0,2.0,4.0,3.0,1.0
Bekasi Selatan,Bekasi,-6.3156704,107.001668,550000000.0,52.0,108.0,2.0,2.0,2.0,1.0
Bekasi Selatan,Bekasi,-6.3156704,107.001668,535000000.0,60.0,45.0,1.0,2.0,1.0,1.0
Bekasi Selatan,Bekasi,-6.3121607,107.021111,470000000.0,60.0,45.0,1.0,2.0,1.0,1.0
Bekasi Selatan,Bekasi,-6.2598431,106.9726004,580000000.0,85.0,55.0,1.0,3.0,1.0,1.0
Bekasi Utara,Bekasi,-6.1765755,106.9946007,825000000.0,92.0,100.0,1.0,3.0,2.0,1.0
Bekasi Utara,Bekasi,-6.1800099,107.0054386,400000000.0,60.0,50.0,1.0,2.0,1.0,1.0
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,650000000.0,40.0,80.0,2.0,3.0,2.0,1.0
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,850000000.0,64.0,82.0,1.0,3.0,2.0,1.0
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,875000000.0,62.0,85.0,2.0,2.0,2.0,1.0
Bekasi Utara,Bekasi,-6.211765499999999,107.0038512,829000000.0,94.0,40.0,1.0,2.0,2.0,1.0
Bekasi Utara,Bekasi,-6.211765499999999,107.0038512,550000000.0,60.0,50.0,1.0,2.0,1.0,1.0
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,480000007.0,60.0,60.0,1.0,2.0,1.0,1.0
Bekasi Barat,Bekasi,-6.3298482,107.0310717,460000007.0,60.0,45.0,1.0,2.0,1.0,1.0
Bekasi Barat,Bekasi,-6.3121607,107.021111,775000007.0,100.0,85.0,1.0,3.0,1.0,1.0
Bekasi Barat,Bekasi,-6.3121607,107.021111,575000007.0,70.0,60.0,1.0,2.0,1.0,1.0
Bekasi Barat,Bekasi,-6.2248942,106.9788898,475000007.0,60.0,60.0,1.0,2.0,1.0,1.0
Bekasi Barat,Bekasi,-6.2248942,106.9788898,575000007.0,72.0,55.0,1.0,2.0,1.0,1.0
Bekasi Selatan,Bekasi,-6.2598431,106.9726004,3500000000.0,200.0,145.0,2.0,3.0,3.0,0.0
Medan Satria,Bekasi,-6.1817524,106.9736839,755000000.0,94.0,80.0,1.0,2.0,1.0,1.0
Bekasi Utara,Bekasi,-6.203464299999999,107.0042335,700000000.0,60.0,150.0,3.0,4.0,2.0,1.0
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,814000000.0,195.0,168.0,1.0,3.0,3.0,2.0
Bekasi Utara,Bekasi,-6.211765499999999,107.0038512,700000000.0,103.0,75.0,1.0,3.0,2.0,1.0
Medan Satria,Bekasi,-6.1811836,106.9819576,1245000000.0,94.0,150.0,1.0,4.0,2.0,1.0
Cibitung,Bekasi,-6.3000729,107.1622246,480000007.0,60.0,60.0,1.0,2.0,1.0,1.0
Bekasi Barat,Bekasi,-6.3298482,107.0310717,460000007.0,60.0,45.0,1.0,2.0,1.0,1.0
Mustikajaya,Bekasi,-6.296142800000001,107.0214912,610000001.0,78.0,55.0,1.0,2.0,1.0,1.0
